창세기,19 ,1,"저녁때 두 천사가 소돔에 도착했는데, 그때에 롯은 소돔 성문에 앉아 있었다. 롯은 그들을 보자 일어나서 그들을 맞이하며 얼굴을 땅에 대고 몸을 굽혔다. "
창세기,19 ,2," 그리고 그가 말했다. “내 주여, 부디 당신들의 종의 집으로 오셔서 밤을 지내시고 발을 씻으십시오. 그런 다음 일찍 일어나 길을 떠나도록 하십시오.” 그러자 그들이 말했다. “아니오. 우리는 광장에서 밤을 지낼 것이오.” "
창세기,19 ,3," 그러나 롯이 매우 끈덕지게 권하므로, 그들이 그와 함께 그의 집으로 갔다. 그가 그들을 위해 음식을 풍성하게 차리고 무교병을 구워 주자 그들이 먹었다."
창세기,19 ,4, 그들이 잠자리에 들기 전에 그 도시의 남자들 곧 소년부터 노인까지 소돔의 모든 남자가 몰려와 그 집을 둘러쌌다. 
창세기,19 ,5, 그들이 계속 롯을 부르며 그에게 말했다. “오늘 밤 당신에게 온 남자들이 어디 있소? 그들을 우리에게 데리고 나오시오. 우리가 그들과 성관계를 가져야겠소.”
창세기,19 ,6, 그러자 롯이 그들에게 나가서 등 뒤로 문을 닫았다. 
창세기,19 ,7," 그가 말했다. “내 형제 여러분, 부디 악한 일을 하지 마십시오. "
창세기,19 ,8," 여기 나에게 남자와 성관계를 가진 적이 없는 두 딸이 있습니다. 내가 그들을 데리고 나올 테니, 여러분이 좋을 대로 그들에게 하십시오. 다만 이 사람들은 나의 지붕 그늘 아래로 들어왔으니, 이 사람들에게는 아무 짓도 하지 마십시오.” "
창세기,19 ,9, 그러자 그들이 “비켜라!” 하면서 이렇게 말했다. “이 외톨이가 외국인으로 여기 와서 사는 주제에 감히 우리를 재판하려고 드는구나! 이제 우리가 그들보다 너를 더 혼내 주어야겠다.” 그러면서 롯에게 달려들며 다가와서 문을 부수려고 했다. 
창세기,19 ,10, 그러자 그 사람들이 손을 내밀어 롯을 자기들이 있는 집 안으로 끌어 들이고 문을 닫았다. 
창세기,19 ,11," 그리고 그 집 입구에 있는 남자들을 가장 작은 자부터 가장 큰 자까지 눈멀게 하니, 그들이 문을 찾다가 지쳤다."
창세기,19 ,12, 그때에 그 사람들이 롯에게 말했다. “여기에 당신에게 속한 사람이 더 있소? 사위들과 당신의 아들들과 딸들과 이 도시에서 당신에게 속한 사람들을 모두 이곳에서 데리고 나가시오! 
창세기,19 ,13, 우리가 이곳을 멸망시킬 것이오. 그들에 대한 부르짖음이 여호와 앞에 참으로 크기 때문이오. 여호와께서 이 도시를 멸망시키도록 우리를 보내셨소.” 
창세기,19 ,14, 그래서 롯이 나가서 자기 딸들과 결혼할 사위들에게 “일어나 이곳을 떠나게! 여호와께서 이 도시를 멸망시키실 것이네!” 하고 계속 말했다. 그러나 사위들에게는 그가 농담하는 것처럼 보였다.
창세기,19 ,15, 동틀 무렵에 천사들이 롯을 재촉하며 말했다. “일어나시오! 당신의 아내와 여기 당신과 함께 있는 두 딸을 데리고 가시오! 그래야 이 도시의 잘못과 함께 쓸려가 버리지 않을 것이오.” 
창세기,19 ,16," 그가 계속 꾸물거리자, 그에 대한 여호와의 동정심 때문에 그 사람들이 그와 그의 아내와 두 딸의 손을 잡고 그들을 데리고 나와 도시 밖에 두었다. "
창세기,19 ,17," 그들을 밖으로 데리고 나오자마자, 그 사람들 중 하나가 말했다. “당신의 생명을 위해 도피하시오! 뒤를 돌아보지 말고 이 지역 어디에서도 멈추어 서지 마시오! 쓸려가 버리지 않도록 산간 지방으로 도피하시오!”"
창세기,19 ,18," 그때에 롯이 그들에게 말했다. “여호와여, 제발 그리로 보내지 마십시오! "
창세기,19 ,19," 주의 종이 주의 눈에 호의를 얻었고, 주께서 저를 살려 주셔서 제게 큰 친절을 보이셨습니다. 하지만 저는 산간 지방으로 도망칠 수 없습니다. 재앙이 제게 닥쳐 제가 죽을까 두렵기 때문입니다. "
창세기,19 ,20, 저기 저 성읍은 도망하기에 가깝고 작은 성읍입니다. 제가 그곳으로 도피하면 안 되겠습니까? 그곳은 작은 성읍에 불과합니다. 그러면 제가 살 수 있을 것입니다.” 
창세기,19 ,21, 그러자 그가 롯에게 말했다. “좋소. 내가 당신을 배려하여 당신이 말하는 성읍을 무너뜨리지 않겠소. 
