예레미야 애가,3 ,1,나는 그분의 격노의 몽둥이 때문에 괴로움을 겪은 사람이다.
예레미야 애가,3 ,2,"2 그분은 나를 몰아내시어, 빛이 아닌 어둠 속에서 걷게 하시고"
예레미야 애가,3 ,3,3 손을 들어 온종일 나를 치고 또 치시는구나.
예레미야 애가,3 ,4,"4 그분은 내 살과 살갗을 닳아 없어지게 하시고, 내 뼈들을 꺾으셨다."
예레미야 애가,3 ,5,"5 나를 포위하셨으니, 쓴 독과 고난으로 나를 에워싸셨다."
예레미야 애가,3 ,6,6 오래전에 죽은 사람처럼 어두운 곳에 앉아 있게 하셨다.
예레미야 애가,3 ,7,"8 내가 도와 달라고 절박하게 부르짖어도, 내 기도를 물리치시는구나."
예레미야 애가,3 ,8,"0 그분은 곰처럼, 숨어 있는 사자처럼 나를 덮치려고 매복해 계신다."
예레미야 애가,3 ,9,"2 그분은 자신의 활을 당기셨고, 나를 화살 과녁으로 세우신다."
예레미야 애가,3 ,10, 그분은 자신의 화살통의 화살들로 나의 신장을 꿰뚫으셨다.
예레미야 애가,3 ,11," 나는 모든 민족에게 웃음거리가 되고, 온종일 그들의 노랫거리가 되었다."
예레미야 애가,3 ,12," 그분은 쓴 것으로 나를 배불리시고, 쓴 쑥으로 내 배를 채우셨다."
예레미야 애가,3 ,13," 당신이 내게서 평화를 빼앗으시니, 나는 좋은 것이 무엇인지도 잊어버렸습니다."
예레미야 애가,3 ,14, 그래서 나는 말합니다.
예레미야 애가,3 ,15,의 영화와 여호와께 품었던 나의 기대가 사라져 버렸구나.”
예레미야 애가,3 ,16," 괴로워하며 집 없이 떠도는 나의 신세를, 쓴 쑥과 쓴 독을 먹는 나의 신세를 기억해 주십시오."
예레미야 애가,3 ,17, 당신은 반드시 기억하시고 내 위에 몸을 굽히실 것입니다.
예레미야 애가,3 ,18, 내가 이것을 마음속에 떠올립니다.
예레미야 애가,3 ,19,므로 내가 기다리는 태도를 보이겠습니다.
예레미야 애가,3 ,20, 당신의 자비는 아침마다 새롭고 당신의 충실은 풍부합니다.
예레미야 애가,3 ,21, 나는 말했다. “여호와는 나의 몫이시다. 그러므로 나는 그분을 기다리는 태도를 보이겠다.”
예레미야 애가,3 ,22," 여호와께서는 자신에게 희망을 두는 자에게, 자신을 계속 찾는 사람에게 선하시다."
예레미야 애가,3 ,23, 여호와의 구원을 잠잠히 기다리는 것이 좋다.
예레미야 애가,3 ,24, 사람이 젊은 시절에 멍에를 메는 것이 좋다.
예레미야 애가,3 ,25, 그분이 멍에를 지우시는 때에 그는 홀로 앉아 잠자코 있어야 한다.
예레미야 애가,3 ,26," 아직 희망이 있을지 모르니, 흙먼지에 입을 대야 한다."
예레미야 애가,3 ,27," 자기를 치는 자에게 뺨을 대 주고, 한껏 모욕을 당해야 한다."
예레미야 애가,3 ,28, 여호와께서는 우리를 영원히 버려두지 않으실 것이다.
예레미야 애가,3 ,29," 우리를 슬픔에 잠기게 하셨지만, 충성스러운 사랑이 풍부하시니 자비도 보이실 것이다."
예레미야 애가,3 ,30, 사람의 아들들을 괴롭게 하거나 슬프게 하는 것은 그분의 본마음이 아니다.
예레미야 애가,3 ,31," 여호와께서 명령하지 않으시면, 누가 말하여 이룰 수 있겠는가?"
예레미야 애가,3 ,32, 가장 높으신 분의 입에서 나쁜 것과 좋은 것이 함께 나오는 법은 없다.
예레미야 애가,3 ,33, 살아 있는 사람이 자기 죗값을 치르는 것을 어찌 불평하겠는가?
예레미야 애가,3 ,34," 우리의 길을 살펴보고 면밀히 조사하여, 여호와께 돌아가자."
예레미야 애가,3 ,35, 하늘에 계신 하느님께 손과 함께 우리 마음도 들어 올리자.
예레미야 애가,3 ,36," “우리는 범법을 저지르고 반역했으며, 당신은 용서하지 않으셨습니다."
예레미야 애가,3 ,37," 당신께 나아가는 길을 구름으로 막으시어, 우리의 기도가 통과하지 못하게 하셨습니다."
예레미야 애가,3 ,38, 당신은 우리를 민족들 가운데서 찌꺼기와 쓰레기로 만드십니다.”
예레미야 애가,3 ,39, 우리의 원수들이 모두 우리를 향해 입을 벌린다.
예레미야 애가,3 ,40," 우리가 공포와 함정에 빠진 신세가 되었으니, 황폐와 파멸뿐이구나."
예레미야 애가,3 ,41, 내 딸 백성의 파멸 때문에 내 눈에서 눈물이 시내처럼 흘러내린다.
예레미야 애가,3 ,42, 내 눈에서 눈물이 쉬지 않고 흐르며 그칠 줄을 모른다.
예레미야 애가,3 ,43, 여호와께서 하늘에서 내려다보시고 살펴보실 때까지 흐른다.
예레미야 애가,3 ,44," 내 도시의 모든 딸 때문에, 내 눈이 나를 슬프게 한다."
예레미야 애가,3 ,45, 내 원수들은 까닭 없이 나를 새처럼 사냥했다.
예레미야 애가,3 ,46," 내 생명을 구덩이에서 잠잠해지게 만들고, 나에게 계속 돌을 던졌다."
예레미야 애가,3 ,47, 물이 내 머리 위로 넘쳐흘러 “나는 이제 끝났구나!” 하고 말했다.
예레미야 애가,3 ,48," 오 여호와여, 내가 깊은 구덩이에서 당신의 이름을 불렀습니다."
예레미야 애가,3 ,49, 내가 당신을 부르던 날에 당신은 가까이 오셔서 “두려워하지 마라” 하고 말씀하셨습니다.
예레미야 애가,3 ,50," 오 여호와여, 당신은 나를 위해 변호해 주셨고, 내 생명을 구속해 주셨습니다."
예레미야 애가,3 ,51," 오 여호와여, 내가 부당한 일을 당하는 것을 보셨으니, 부디 나에게 공의를 베풀어 주십시오."
예레미야 애가,3 ,52," 당신은 그들의 모든 복수를, 나를 해치려는 그들의 모든 계략을 보셨습니다."
예레미야 애가,3 ,53," 보십시오, 그들은 앉으나 서나 나를 조롱하는 노래를 부릅니다!"
예레미야 애가,3 ,54," 오 여호와여, 당신은 그들이 행한 대로 그들에게 갚아 주실 것입니다."
